№,名前,英語名,HP,攻撃,防御,特攻,特防,素早,合計種族値,タイプ1,タイプ2,特性1特性2(隠し特性),高さ,重さ,捕獲率,性別,経験値,初期なつき度,努力値,タマゴ,孵化,成長,雄率
655,マフォクシー,Delphox,75,69,72,114,100,104,534,ほのお,エスパー,"もうか
(マジシャン)",1.5,39.0,45,7:1,240,70,特攻+3,陸上,5355,106万,0.875
656,ケロマツ,Froakie,41,56,40,62,44,71,314,みず,,"げきりゅう
(へんげんじざい)",0.3,7.0,45,7:1,63,70,素早+1,水中1,5355,106万,0.875
657,ゲコガシラ,Frogadier,54,63,52,83,56,97,405,みず,,"げきりゅう
(へんげんじざい)",0.6,10.9,45,7:1,142,70,素早+2,水中1,5355,106万,0.875
658,ゲッコウガ,Greninja,72,95,67,103,71,122,530,みず,あく,"げきりゅう
(へんげんじざい)",1.5,40.0,45,7:1,239,70,素早+3,水中1,5355,106万,0.875
658-1,ゲッコウガS,Greninja Ash,72,145,67,153,71,132,640,みず,あく,きずなへんげ,1.5,40.0,45,♂,288,70,素早+3,未発見,5355,106万,1.0
659,ホルビー,Bunnelby,38,36,38,32,36,57,237,ノーマル,,"ものひろい
ほおぶくろ
(ちからもち)",0.4,5.0,255,1:1,47,70,素早+1,陸上,4080,100万,0.5
660,ホルード,Diggersby,85,56,77,50,77,78,423,ノーマル,じめん,"ものひろい
ほおぶくろ
(ちからもち)",1.0,42.4,127,1:1,148,70,HP+2,陸上,4080,100万,0.5
661,ヤヤコマ,Fletchling,45,50,43,40,38,62,278,ノーマル,ひこう,"はとむね
(はやてのつばさ)",0.3,1.7,255,1:1,56,70,素早+1,飛行,4080,106万,0.5
662,ヒノヤコマ,Fletchinder,62,73,55,56,52,84,382,ほのお,ひこう,"ほのおのからだ
(はやてのつばさ)",0.7,16.0,120,1:1,134,70,素早+2,飛行,4080,106万,0.5
663,ファイアロー,Talonflame,78,81,71,74,69,126,499,ほのお,ひこう,"ほのおのからだ
(はやてのつばさ)",1.2,24.5,45,1:1,175,70,素早+3,飛行,4080,106万,0.5
664,コフキムシ,Scatterbug,38,35,40,27,25,35,200,むし,,"りんぷん
ふくがん
(フレンドガード)",0.3,2.5,255,1:1,40,70,防御+1,虫,4080,100万,0.5
665,コフーライ,Spewpa,45,22,60,27,30,29,213,むし,,"だっぴ
(フレンドガード)",0.3,8.4,120,1:1,75,70,防御+2,虫,4080,100万,0.5
666,ビビヨン,Vivillon,80,52,50,90,50,89,411,むし,ひこう,"りんぷん
ふくがん
(フレンドガード)",1.2,17.0,45,1:1,185,70,"HP+1
特攻+1
素早+1",虫,4080,100万,0.5
667,シシコ,Litleo,62,50,58,73,54,72,369,ほのお,ノーマル,"とうそうしん
きんちょうかん
(じしんかじょう)",0.6,13.5,220,1:3,74,70,特攻+1,陸上,5355,106万,0.25
668,カエンジシ,Pyroar,86,68,72,109,66,106,507,ほのお,ノーマル,"とうそうしん
きんちょうかん
(じしんかじょう)",1.5,81.5,65,1:3,177,70,特攻+2,陸上,5355,106万,0.25
669,フラベベ,Flabebe,44,38,39,61,79,42,303,フェアリー,,"フラワーベール
(きょうせい)",0.1,0.1,255,♀,61,70,特防+1,妖精,5355,100万,0.0
670,フラエッテ,Floette,54,45,47,75,98,52,371,フェアリー,,"フラワーベール
(きょうせい)",0.2,0.9,120,♀,130,70,特防+2,妖精,5355,100万,0.0
670-1,フラエッテAZ,Floette-E,74,65,67,125,128,92,551,フェアリー,,"フラワーベール
(きょうせい)",0.2,0.9,120,♀,243,70,特防+2,妖精,5355,100万,0.0
671,フラージェス,Florges,78,65,68,112,154,75,552,フェアリー,,"フラワーベール
(きょうせい)",1.1,10.0,45,♀,248,70,特防+3,妖精,5355,100万,0.0
672,メェークル,Skiddo,66,65,48,62,57,52,350,くさ,,"そうしょく
(くさのけがわ)",0.9,31.0,200,1:1,70,70,HP+1,陸上,5355,100万,0.5
673,ゴーゴート,Gogoat,123,100,62,97,81,68,531,くさ,,"そうしょく
(くさのけがわ)",1.7,91.0,45,1:1,186,70,HP+2,陸上,5355,100万,0.5
674,ヤンチャム,Pancham,67,82,62,46,48,43,348,かくとう,,"てつのこぶし
かたやぶり
(きもったま)",0.6,8.0,220,1:1,70,70,攻撃+1,"陸上
人型",6630,100万,0.5
675,ゴロンダ,Pangoro,95,124,78,69,71,58,495,かくとう,あく,"てつのこぶし
かたやぶり
(きもったま)",2.1,136.0,65,1:1,173,70,攻撃+2,"陸上
人型",6630,100万,0.5
676,トリミアン,Furfrou,75,80,60,65,90,102,472,ノーマル,,ファーコート,1.2,28.0,160,1:1,165,70,素早+1,陸上,5355,100万,0.5
677,ニャスパー,Espurr,62,48,54,63,60,68,355,エスパー,,"するどいめ
すりぬけ
(マイペース)",0.3,3.5,190,1:1,71,70,素早+1,陸上,5355,100万,0.5
678,ニャオニクス♂,Meowstic,74,48,76,83,81,104,466,エスパー,,"するどいめ
すりぬけ
(いたずらごころ)",0.6,8.5,75,1:1,163,70,素早+2,陸上,5355,100万,0.5
678-1,ニャオニクス♀,Meowstic,74,48,76,83,81,104,466,エスパー,,"するどいめ
すりぬけ
(かちき)",0.6,8.5,75,1:1,163,70,素早+2,鉱物,5355,100万,0.5
679,ヒトツキ,Honedge,45,80,100,35,37,28,325,はがね,ゴースト,ノーガード,0.8,2.0,180,1:1,65,70,防御+1,鉱物,5355,100万,0.5
680,ニダンギル,Doublade,59,110,150,45,49,35,448,はがね,ゴースト,ノーガード,0.8,4.5,90,1:1,157,70,防御+2,鉱物,5355,100万,0.5
681,ギルガルド盾,Aegislash Shield,60,50,150,50,150,60,520,はがね,ゴースト,バトルスイッチ,1.7,53.0,45,1:1,234,70,"防御+2
特防+1",妖精,5355,100万,0.5
681-1,ギルガルド剣,Aegislash Blade,60,150,50,150,50,60,520,はがね,ゴースト,バトルスイッチ,1.7,53.0,45,1:1,234,70,"防御+2
特防+1",妖精,5355,100万,0.5
682,シュシュプ,Spritzee,78,52,60,63,65,23,341,フェアリー,,"いやしのこころ
(アロマベール)",0.2,0.5,200,1:1,68,70,HP+1,妖精,5355,100万,0.5
683,フレフワン,Aromatisse,101,72,72,99,89,29,462,フェアリー,,"いやしのこころ
(アロマベール)",0.8,15.5,140,1:1,162,70,HP+2,妖精,5355,100万,0.5
684,ペロッパフ,Swirlix,62,48,66,59,57,49,341,フェアリー,,"スイートベール
(かるわざ)",0.4,3.5,200,1:1,68,70,防御+1,妖精,5355,100万,0.5
685,ペロリーム,Slurpuff,82,80,86,85,75,72,480,フェアリー,,"スイートベール
(かるわざ)",0.8,5.0,140,1:1,168,70,防御+2,妖精,5355,100万,0.5
686,マーイーカ,Inkay,53,54,53,37,46,45,288,あく,エスパー,"あまのじゃく
きゅうばん
(すりぬけ)",0.4,3.5,190,1:1,58,70,攻撃+1,"水中1
水中2",5355,100万,0.5
687,カラマネロ,Malamar,86,92,88,68,75,73,482,あく,エスパー,"あまのじゃく
きゅうばん
(すりぬけ)",1.5,47.0,80,1:1,169,70,攻撃+2,"水中1
水中2",5355,100万,0.5
688,カメテテ,Binacle,42,52,67,39,56,50,306,いわ,みず,"かたいツメ
スナイパー
(わるいてぐせ)",0.5,31.0,120,1:1,61,70,攻撃+1,水中3,5355,100万,0.5
689,ガメノデス,Barbaracle,72,105,115,54,86,68,500,いわ,みず,"かたいツメ
スナイパー
(わるいてぐせ)",1.3,96.0,45,1:1,175,70,攻撃+2,水中3,5355,100万,0.5
690,クズモー,Skrelp,50,60,60,60,60,30,320,どく,みず,"どくのトゲ
どくしゅ
(てきおうりょく)",0.5,7.3,225,1:1,64,70,特防+1,"水中1
ドラゴン",5355,100万,0.5
691,ドラミドロ,Dragalge,65,75,90,97,123,44,494,どく,ドラゴン,"どくのトゲ
どくしゅ
(てきおうりょく)",1.8,81.5,55,1:1,173,70,特防+2,"水中1
ドラゴン",5355,100万,0.5
692,ウデッポウ,Clauncher,50,53,62,58,63,44,330,みず,,メガランチャー,0.5,8.3,225,1:1,66,70,特攻+1,"水中1
水中3",4080,125万,0.5
693,ブロスター,Clawitzer,71,73,88,120,89,59,500,みず,,メガランチャー,1.3,35.3,55,1:1,100,70,特攻+2,"水中1
水中3",4080,125万,0.5
694,エリキテル,Helioptile,44,38,33,61,43,70,289,でんき,ノーマル,"かんそうはだ
すながくれ
(サンパワー)",0.5,6.0,190,1:1,58,70,素早+1,"怪獣
ドラゴン",5355,100万,0.5
695,エレザード,Heliolisk,62,55,52,109,94,109,481,でんき,ノーマル,"かんそうはだ
すながくれ
(サンパワー)",1.0,21.0,75,1:1,168,70,"特攻+1
素早+1","怪獣
ドラゴン",5355,100万,0.5
696,チゴラス,Tyrunt,58,89,77,45,45,48,362,いわ,ドラゴン,"がんじょうあご
(がんじょう)",0.8,26.0,45,7:1,72,70,攻撃+1,"怪獣
ドラゴン",7905,100万,0.875
697,ガチゴラス,Tyrantrum,82,121,119,69,59,71,521,いわ,ドラゴン,"がんじょうあご
(いしあたま)",2.5,270.0,45,7:1,182,70,攻撃+2,"怪獣
ドラゴン",7905,100万,0.875
698,アマルス,Amaura,77,59,50,67,63,46,362,いわ,こおり,"フリーズスキン
(ゆきふらし)",1.3,25.2,45,7:1,72,70,HP+1,怪獣,7905,100万,0.875
699,アマルルガ,Aurorus,123,77,72,99,92,58,521,いわ,こおり,"フリーズスキン
(ゆきふらし)",2.7,225.0,45,7:1,104,70,HP+2,怪獣,7905,100万,0.875
700,ニンフィア,Sylveon,95,65,65,110,130,60,525,フェアリー,,"メロメロボディ
(フェアリースキン)",1.0,23.5,45,7:1,184,70,特防+2,陸上,9180,100万,0.875
701,ルチャブル,Hawlucha,78,92,75,74,63,118,500,かくとう,ひこう,"じゅうなん
かるわざ
(かたやぶり)",0.8,21.5,100,1:1,175,70,攻撃+2,人型,5355,100万,0.5
702,デデンネ,Dedenne,67,58,57,81,67,101,431,でんき,フェアリー,"ほおぶくろ
ものひろい
(プラス)",0.2,2.2,100,1:1,151,70,素早+2,"陸上
妖精",5355,100万,0.5
703,メレシー,Carbink,50,50,150,50,150,50,500,いわ,フェアリー,"クリアボディ
(がんじょう)",0.3,5.7,60,不明,100,70,"防御+1
特防+1","妖精
鉱物",6630,125万,
704,ヌメラ,Goomy,45,50,35,55,75,40,300,ドラゴン,,"そうしょく
うるおいボディ
(ぬめぬめ)",0.3,2.8,45,1:1,60,35,特防+1,ドラゴン,10455,125万,0.5
705,ヌメイル,Sliggoo,68,75,53,83,113,60,452,ドラゴン,,"そうしょく
うるおいボディ
(ぬめぬめ)",0.8,17.5,45,1:1,158,35,特防+2,ドラゴン,10455,125万,0.5
706,ヌメルゴン,Goodra,90,100,70,110,150,80,600,ドラゴン,,"そうしょく
うるおいボディ
(ぬめぬめ)",2.0,150.5,45,1:1,270,35,特防+3,ドラゴン,10455,125万,0.5
707,クレッフィ,Klefki,57,80,91,80,87,75,470,はがね,フェアリー,"いたずらごころ
(マジシャン)",0.2,3.0,75,1:1,165,70,防御+1,鉱物,5355,80万,0.5
708,ボクレー,Phantump,43,70,48,50,60,38,309,ゴースト,くさ,"しぜんかいふく
おみとおし
(しゅうかく)",0.4,7.0,120,1:1,62,70,攻撃+1,"植物
不定形",5355,100万,0.5
709,オーロット,Trevenant,85,110,76,65,82,56,474,ゴースト,くさ,"しぜんかいふく
おみとおし
(しゅうかく)",1.5,71.0,60,1:1,166,70,攻撃+2,"植物
不定形",5355,100万,0.5
710,バケッチャ,Pumpkaboo Avg,49,66,70,44,55,51,335,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.4,5.0,120,1:1,67,70,防御+1,不定形,5355,100万,0.5
710,バケッチャ小,Pumpkaboo S,44,66,70,44,55,56,335,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.3,3.5,120,1:1,67,70,防御+1,不定形,5355,100万,0.5
710,バケッチャ大,Pumpkaboo L,54,66,70,44,55,46,335,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.5,7.5,120,1:1,67,70,防御+1,不定形,5355,100万,0.5
710,バケッチャ特大,Pumpkaboo Sp,59,66,70,44,55,41,335,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.8,15.0,120,1:1,67,70,防御+1,不定形,5355,100万,0.5
711,パンプジン,Gourgeist Avg,65,90,122,58,75,84,494,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.9,12.5,60,1:1,173,70,防御+2,不定形,5355,100万,0.5
711,パンプジン小,Gourgeist S,55,85,122,58,75,99,494,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",0.7,9.5,60,1:1,173,70,防御+2,不定形,5355,100万,0.5
711,パンプジン大,Gourgeist L,75,95,122,58,75,69,494,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",1.1,14.0,60,1:1,173,70,防御+2,不定形,5355,100万,0.5
711,パンプジン特大,Gourgeist Sp,85,100,122,58,75,54,494,ゴースト,くさ,"ものひろい
おみとおし
(ふみん)",1.7,39.0,60,1:1,173,70,防御+2,不定形,5355,100万,0.5
712,カチコール,Bergmite,55,69,85,32,35,28,304,こおり,,"マイペース
アイスボディ
(がんじょう)",1.0,99.5,190,1:1,61,70,防御+1,怪獣,5355,100万,0.5
713,クレベース,Avalugg,95,117,184,44,46,28,514,こおり,,"マイペース
アイスボディ
(がんじょう)",2.0,505.0,55,1:1,180,70,防御+2,怪獣,5355,100万,0.5
714,オンバット,Noibat,40,30,35,45,40,55,245,ひこう,ドラゴン,"おみとおし
すりぬけ
(テレパシー)",0.5,8.0,190,1:1,49,70,素早+1,飛行,5355,100万,0.5
715,オンバーン,Noivern,85,70,80,97,80,123,535,ひこう,ドラゴン,"おみとおし
すりぬけ
(テレパシー)",1.5,85.0,45,1:1,187,70,素早+2,飛行,5355,100万,0.5
716,ゼルネアス,Xerneas,126,131,95,131,98,99,680,フェアリー,,フェアリーオーラ,3.0,215.0,45,不明,306,0,HP+3,未発見,30855,125万,
717,イベルタル,Yveltal,126,131,95,131,98,99,680,あく,ひこう,ダークオーラ,5.8,203.0,45,不明,306,0,HP+3,未発見,30855,125万,
718,ジガルデ50％,Zygarde 50%,108,100,121,81,95,95,600,ドラゴン,じめん,"オーラブレイク
スワームチェンジ",5.0,305.0,3,不明,270,0,HP+3,未発見,30855,125万,
718-1,ジガルデ10%,Zygarde 10%,54,100,71,61,85,115,486,ドラゴン,じめん,"オーラブレイク
スワームチェンジ",1.2,33.5,3,不明,219,0,HP+3,未発見,30855,125万,
718-2,ジガルデ100%,Zygarde Comp,216,100,121,91,95,85,708,ドラゴン,じめん,スワームチェンジ,4.5,610.0,3,不明,319,0,HP+3,未発見,30855,125万,
719,ディアンシー,Diancie,50,100,150,100,150,50,600,いわ,フェアリー,クリアボディ,0.7,8.8,3,不明,270,70,"防御+1
特防+2",未発見,6630,125万,
719-1,メガディアンシー,Mega Diancie,50,160,110,160,110,110,700,いわ,フェアリー,マジックミラー,1.1,27.8,3,不明,315,70,"防御+1
特防+2",未発見,6630,125万,
720,フーパ(戒め),Hoopa Confined,80,110,60,150,130,70,600,エスパー,ゴースト,マジシャン,0.5,9.0,3,不明,270,100,特攻+3,未発見,30855,125万,
720-1,フーパ(解放),Hoopa Unbound,80,160,60,170,130,80,680,エスパー,あく,マジシャン,6.5,490.0,3,不明,306,100,特攻+3,未発見,30855,125万,
721,ボルケニオン,Volcanion,80,110,120,130,90,70,600,ほのお,みず,ちょすい,1.7,195.0,3,不明,270,100,特攻+3,未発見,30855,125万,
722,モクロー,Rowlet,68,55,55,50,50,42,320,くさ,ひこう,"しんりょく
(えんかく)",0.3,1.5,45,7:1,64,70,HP+1,飛行,4080,106万,0.875
723,フクスロー,Dartrix,78,75,75,70,70,52,420,くさ,ひこう,"しんりょく
(えんかく)",0.7,16.0,45,7:1,147,70,HP+2,飛行,4080,106万,0.875
724,ジュナイパー,Decidueye,78,107,75,100,100,70,530,くさ,ゴースト,"しんりょく
(えんかく)",1.6,36.6,45,7:1,239,70,攻撃+3,飛行,4080,106万,0.875
725,ニャビー,Litten,45,65,40,60,40,70,320,ほのお,,"もうか
(いかく)",0.4,4.3,45,7:1,64,70,素早+1,陸上,4080,106万,0.875
726,ニャヒート,Torracat,65,85,50,80,50,90,420,ほのお,,"もうか
(いかく)",0.7,25.0,45,7:1,147,70,素早+2,陸上,4080,106万,0.875
727,ガオガエン,Incineroar,95,115,90,80,90,60,530,ほのお,あく,"もうか
(いかく)",1.8,83.0,45,7:1,239,70,攻撃+3,陸上,4080,106万,0.875
728,アシマリ,Popplio,50,54,54,66,56,40,320,みず,,"げきりゅう
(うるおいボイス)",0.4,7.5,45,7:1,64,70,特攻+1,"水中1
陸上",4080,106万,0.875
729,オシャマリ,Brionne,60,69,69,91,81,50,420,みず,,"げきりゅう
(うるおいボイス)",0.6,17.5,45,7:1,147,70,特攻+2,"水中1
陸上",4080,106万,0.875
730,アシレーヌ,Primarina,80,74,74,126,116,60,530,みず,フェアリー,"げきりゅう
(うるおいボイス)",1.8,44.0,45,7:1,239,70,特攻+3,"水中1
陸上",4080,106万,0.875
731,ツツケラ,Pikipek,35,75,30,30,30,65,265,ノーマル,ひこう,"するどいめ
スキルリンク
(ものひろい)",0.3,1.2,255,1:1,53,70,攻撃+1,飛行,4080,106万,0.5
732,ケララッパ,Trumbeak,55,85,50,40,50,75,355,ノーマル,ひこう,"するどいめ
スキルリンク
(ものひろい)",0.6,14.8,120,1:1,124,70,攻撃+2,飛行,4080,106万,0.5
733,ドデカバシ,Toucannon,80,120,75,75,75,60,485,ノーマル,ひこう,"するどいめ
スキルリンク
(ちからずく)",1.1,26.0,45,1:1,218,70,攻撃+3,飛行,4080,106万,0.5
734,ヤングース,Yungoos,48,70,30,30,30,45,253,ノーマル,,"はりこみ
がんじょうあご
(てきおうりょく)",0.4,6.0,255,1:1,51,70,攻撃+1,陸上,4080,100万,0.5
735,デカグース,Gumshoos,88,110,60,55,60,45,418,ノーマル,,"はりこみ
がんじょうあご
(てきおうりょく)",0.7,14.2,127,1:1,146,70,攻撃+2,陸上,4080,100万,0.5
736,アゴジムシ,Grubbin,47,62,45,55,45,46,300,むし,でんき,むしのしらせ,0.4,4.4,255,1:1,60,70,攻撃+1,虫,4080,100万,0.5
737,デンヂムシ,Charjabug,57,82,95,55,75,36,400,むし,でんき,バッテリー,0.5,10.5,120,1:1,140,70,防御+2,虫,4080,100万,0.5
738,クワガノン,Vikavolt,77,70,90,145,75,43,500,むし,でんき,ふゆう,1.5,45.0,45,1:1,225,70,特攻+3,虫,4080,100万,0.5
739,マケンカニ,Crabrawler,47,82,57,42,47,63,338,かくとう,,"かいりきバサミ
てつのこぶし
(いかりのつぼ)",0.6,7.0,225,1:1,68,70,攻撃+1,水中3,5355,100万,0.5
740,ケケンカニ,Crabominable,97,132,77,62,67,43,478,かくとう,こおり,"かいりきバサミ
てつのこぶし
(いかりのつぼ)",1.7,180.0,60,1:1,167,70,攻撃+2,水中3,5355,100万,0.5
741,オドリドリ炎,Oricorio Baile,75,70,70,98,70,93,476,ほのお,ひこう,おどりこ,0.6,3.4,45,1:3,167,70,特攻+2,飛行,5355,100万,0.25
741-1,オドリドリ電,Oricorio Pom,75,70,70,98,70,93,476,でんき,ひこう,おどりこ,0.6,3.4,45,1:3,167,70,特攻+2,飛行,5355,100万,0.25
741-2,オドリドリ超,Oricorio Pa’u,75,70,70,98,70,93,476,エスパー,ひこう,おどりこ,0.6,3.4,45,1:3,167,70,特攻+2,飛行,5355,100万,0.25
741-3,オドリドリ霊,Oricorio Sensu,75,70,70,98,70,93,476,ゴースト,ひこう,おどりこ,0.6,3.4,45,1:3,167,70,特攻+2,飛行,5355,100万,0.25
742,アブリー,Cutiefly,40,45,40,55,40,84,304,むし,フェアリー,"みつあつめ
りんぷん
(スイートベール)",0.1,0.2,190,1:1,61,70,素早+1,"虫
妖精",5355,100万,0.5
743,アブリボン,Ribombee,60,55,60,95,70,124,464,むし,フェアリー,"みつあつめ
りんぷん
(スイートベール)",0.2,0.5,75,1:1,162,70,素早+2,"虫
妖精",5355,100万,0.5
744,イワンコ,Rockruff,45,65,40,30,40,60,280,いわ,,"するどいめ
やるき
(ふくつのこころ)",0.5,9.2,190,1:1,56,70,攻撃+1,陸上,4080,100万,0.5
745,ルガルガン昼,Lycanroc MD,75,115,65,55,65,112,487,いわ,,"するどいめ
すなかき
(ふくつのこころ)",0.8,25.0,90,1:1,170,70,攻撃+2,陸上,4080,100万,0.5
745-1,ルガルガン夜,Lycanroc MN,85,115,75,55,75,82,487,いわ,,"するどいめ
やるき
(ノーガード)",1.1,25.0,90,1:1,170,70,攻撃+2,陸上,4080,100万,0.5
745-2,ルガルガン黄昏,Lycanroc D,75,117,65,55,65,110,487,いわ,,かたいツメ,0.8,25.0,90,1:1,170,70,攻撃+2,陸上,4080,100万,0.5
746,ヨワシ 単独,Wishiwashi Solo,45,20,20,25,25,40,175,みず,,ぎょぐん,0.2,0.3,60,1:1,61,70,HP+1,水中2,4080,80万,0.5
746-1,ヨワシ 群れ,Wishiwashi Sch,45,140,130,140,135,30,620,みず,,ぎょぐん,8.2,78.6,60,1:1,217,70,HP+1,水中2,4080,80万,0.5
747,ヒドイデ,Mareanie,50,53,62,43,52,45,305,どく,みず,"ひとでなし
じゅうなん
(さいせいりょく)",0.4,8.0,190,1:1,61,70,防御+1,水中1,5355,100万,0.5
748,ドヒドイデ,Toxapex,50,63,152,53,142,35,495,どく,みず,"ひとでなし
じゅうなん
(さいせいりょく)",0.7,14.5,75,1:1,173,70,防御+2,水中1,5355,100万,0.5
749,ドロバンコ,Mudbray,70,100,70,45,55,45,385,じめん,,"マイペース
じきゅうりょく
(せいしんりょく)",1.0,110.0,190,1:1,77,70,攻撃+1,陸上,5355,100万,0.5
750,バンバドロ,Mudsdale,100,125,100,55,85,35,500,じめん,,"マイペース
じきゅうりょく
(せいしんりょく)",2.5,920.0,60,1:1,175,70,攻撃+2,陸上,5355,100万,0.5
751,シズクモ,Dewpider,38,40,52,40,72,27,269,みず,むし,"すいほう
(ちょすい)",0.3,4.0,200,1:1,54,70,特防+1,"水中1
虫",4080,100万,0.5
752,オニシズクモ,Araquanid,68,70,92,50,132,42,454,みずむし,,"すいほう
(ちょすい)",1.8,82.0,100,1:1,159,70,特防+2,"水中1
虫",4080,100万,0.5
753,カリキリ,Fomantis,40,55,35,50,35,35,250,くさ,,"リーフガード
(あまのじゃく)",0.3,1.5,190,1:1,50,70,攻撃+1,植物,5355,100万,0.5
754,ラランテス,Lurantis,70,105,90,80,90,45,480,くさ,,"リーフガード
(あまのじゃく)",0.9,18.5,75,1:1,168,70,攻撃+2,植物,5355,100万,0.5
755,ネマシュ,Morelull,40,35,55,65,75,15,285,くさ,フェアリー,"はっこう
ほうし
(あめうけざら)",0.2,1.5,190,1:1,57,70,特防+1,植物,5355,100万,0.5
756,マシェード,Shiinotic,60,45,80,90,100,30,405,くさ,フェアリー,"はっこう
ほうし
(あめうけざら)",1.0,11.5,75,1:1,142,70,特防+2,植物,5355,100万,0.5
757,ヤトウモリ,Salandit,48,44,40,71,40,77,320,どく,ほのお,"ふしょく
(どんかん)",0.6,4.8,120,7:1,64,70,素早+1,"怪獣
ドラゴン",5355,100万,0.875
758,エンニュート,Salazzle,68,64,60,111,60,117,480,どく,ほのお,"ふしょく
(どんかん)",1.2,22.2,45,♀,168,70,素早+2,"怪獣
ドラゴン",5355,100万,0.0
759,ヌイコグマ,Stufful,70,75,50,45,50,50,340,ノーマル,かくとう,"もふもふ
ぶきよう
(メロメロボディ)",0.5,6.8,140,1:1,68,70,攻撃+1,陸上,4080,100万,0.5
760,キテルグマ,Bewear,120,125,80,55,60,60,500,ノーマル,かくとう,"もふもふ
ぶきよう
(メロメロボディ)",2.1,135.0,70,1:1,175,70,攻撃+2,陸上,4080,100万,0.5
761,アマカジ,Bounsweet,42,30,38,30,38,32,210,くさ,,"リーフガード
どんかん
(スイートベール)",0.3,3.2,235,♀,42,70,HP+1,植物,5355,106万,0.0
762,アママイコ,Steenee,52,40,48,40,48,62,290,くさ,,"リーフガード
どんかん
(スイートベール)",0.7,8.2,120,♀,102,70,素早+2,植物,5355,106万,0.0
763,アマージョ,Tsareena,72,120,98,50,98,72,510,くさ,,"リーフガード
じょうおうのいげん
(スイートベール)",1.2,21.4,45,♀,230,70,攻撃+3,植物,5355,106万,0.0
764,キュワワー,Comfey,51,52,90,82,110,100,485,フェアリー,,"フラワーベール
ヒーリングシフト
(しぜんかいふく)",0.1,0.3,60,1:3,170,70,特防+2,植物,5355,80万,0.25
765,ヤレユータン,Oranguru,90,60,80,90,110,60,490,ノーマル,エスパー,"せいしんりょく
テレパシー
(きょうせい)",1.5,76.0,45,1:1,172,70,特防+2,陸上,5355,125万,0.5
766,ナゲツケサル,Passimian,100,120,90,40,60,80,490,かくとう,,"レシーバー
(まけんき)",2.0,82.8,45,1:1,172,70,攻撃+2,陸上,5355,125万,0.5
767,コソクムシ,Wimpod,25,35,40,20,30,80,230,むし,みず,にげごし,0.5,12.0,90,1:1,46,70,素早+1,"虫
水中3",5355,100万,0.5
768,グソクムシャ,Golisopod,75,125,140,60,90,40,530,むし,みず,ききかいひ,2.0,108.0,45,1:1,186,70,防御+2,"虫
水中3",5355,100万,0.5
769,スナバァ,Sandygast,55,55,80,70,45,15,320,ゴースト,じめん,"みずがため
(すながくれ)",0.5,70.0,140,1:1,64,70,防御+1,不定形,4080,100万,0.5
770,シロデスナ,Palossand,85,75,110,100,75,35,480,ゴースト,じめん,"みずがため
(すながくれ)",1.3,250.0,60,1:1,168,70,防御+2,不定形,4080,100万,0.5
771,ナマコブシ,Pyukumuku,55,60,130,30,130,5,410,みず,,"とびだすなかみ
(てんねん)",0.3,1.2,60,1:1,144,70,特防+2,水中1,4080,80万,0.5
772,タイプ:ヌル,Type: Null,95,95,95,95,95,59,534,ノーマル,,カブトアーマー,1.9,120.5,3,不明,107,0,HP+2,未発見,30855,125万,
773,シルヴァディ,Silvally,95,95,95,95,95,95,570,ノーマル,,ARシステム,2.3,100.5,3,不明,114,0,HP+3,未発見,30855,125万,
774,メテノ 流星,Minior Meteor,60,60,100,60,100,60,440,いわ,ひこう,リミットシールド,0.3,40.0,30,不明,154,70,"防御+1
特防+1",鉱物,6630,105万,
774,メテノ コア,Minior Core,60,100,60,100,60,120,500,いわ,ひこう,リミットシールド,0.3,0.3,30,不明,175,70,"攻撃+1
特攻+1",鉱物,6630,105万,
775,ネッコアラ,Komala,65,115,65,75,95,65,480,ノーマル,,ぜったいねむり,0.4,19.9,45,1:1,168,70,攻撃+2,陸上,5355,125万,0.5
776,バクガメス,Turtonator,60,78,135,91,85,36,485,ほのお,ドラゴン,シェルアーマー,2.0,212.0,70,1:1,170,70,防御+2,"怪獣
ドラゴン",5355,100万,0.5
777,トゲデマル,Togedemaru,65,98,63,40,73,96,435,でんき,はがね,"てつのトゲ
ひらいしん
(がんじょう)",0.3,3.3,180,1:1,152,70,攻撃+2,"陸上
妖精",2805,100万,0.5
778,ミミッキュ,Mimikyu,55,90,80,50,105,96,476,ゴースト,フェアリー,ばけのかわ,0.2,0.7,45,1:1,167,70,特防+2,不定形,5355,100万,0.5
779,ハギギシリ,Bruxish,68,105,70,70,70,92,475,みず,エスパー,"ビビットボディ
がんじょうあご
(ミラクルスキン)",0.9,19.0,80,1:1,166,70,攻撃+2,水中2,4080,100万,0.5
780,ジジーロン,Drampa,78,60,85,135,91,36,485,ノーマル,ドラゴン,"ぎゃくじょう
そうしょく
(ノーてんき)",3.0,185.0,70,1:1,170,70,特攻+2,"怪獣
ドラゴン",5355,100万,0.5
